Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Object Date,Object Begin Date,Object End Date,Dimensions,Credit Line,Classification,Link Resource,Repository
6299,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6299,"Metropolitan Museum of Art, New York, NY"
6300,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6300,"Metropolitan Museum of Art, New York, NY"
6301,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6301,"Metropolitan Museum of Art, New York, NY"
6302,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6302,"Metropolitan Museum of Art, New York, NY"
6303,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6303,"Metropolitan Museum of Art, New York, NY"
6304,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6304,"Metropolitan Museum of Art, New York, NY"
6305,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6305,"Metropolitan Museum of Art, New York, NY"
6306,The American Wing,1910,Plate,Plate,"Chinese, for American market",,,,,,1785–90,1785,1790,Diam. 9 in. (22.9 cm),"Bequest of James T. Woodward, 1910",Ceramics,http://www.metmuseum.org/art/collection/search/6306,"Metropolitan Museum of Art, New York, NY"
6307,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6307,"Metropolitan Museum of Art, New York, NY"
6308,The American Wing,1960,Plate,Plate,"Chinese, for American market",,,,,,ca. 1860–66,1860,1866,Diam. 9 1/2 in. (24.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Ceramics,http://www.metmuseum.org/art/collection/search/6308,"Metropolitan Museum of Art, New York, NY"
