last_name,first_name,birth,death,function,languages,raw_entry,author_id
Holmes,E. Bruce,,,author,en,"Holmes, E. Bruce",20907
Harriman,Karl Edwin,1875,1935,author,en,"Harriman, Karl Edwin, 1875-1935",20908
Lane,"John, Mrs.",,,author,en,"Lane, John, Mrs.",20909
Ewan,Frances,,,illustrator,en,"Ewan, Frances [Illustrator]",20910
Vose,Edward Neville,1870,1949,author,en,"Vose, Edward Neville, 1870-1949",20911
Mason,James,,,author,en,"Mason, James",20912
Roujon,Henry,1853,1914,editor,en,"Roujon, Henry, 1853-1914 [Editor]",20913
Price,Garrett,1896,1979,illustrator,en,"Price, Garrett, 1896-1979 [Illustrator]",20914
Pepper,John Henry,1821,1900,author,en,"Pepper, John Henry, 1821-1900",20915
Loomis,Justin Rudolph,1810,1898,author,en,"Loomis, Justin R. (Justin Rudolph), 1810-1898",20916
Bizzarri,Alessandro,,,author,es,"Bizzarri, Alessandro",20917
Pequeño,Diego,,,translator,es,"Pequeño, Diego [Translator]",20918
Humbert,Jean,1792,1851,author,fr,"Humbert, Jean, 1792-1851",20919
Culpeper,Josephine,,,author,en,"Culpeper, Josephine",20920
Rose,Augustus Foster,1873,1946,author,en,"Rose, Augustus F. (Augustus Foster), 1873-1946",20921
Brau,Salvador,1842,1912,author,es,"Brau, Salvador, 1842-1912",20922
Worthington,D.,,,author,en,"Worthington, D.",20923
Bullock,James Dempsey,1863,1928,illustrator,en,"Bullock, James Dempsey, 1863-1928 [Illustrator]",20924
Harting,James Edmund,1841,1928,author,en,"Harting, James Edmund, 1841-1928",20925
Costantini,Anna Miller,1880,,author,en,"Costantini, Anna Miller, 1880-",20926
Burdett,Charles,1815,1862,author,en,"Burdett, Charles, 1815-1862",20927
Prentice,Sartell,1867,1937,author,en,"Prentice, Sartell, 1867-1937",20928
Euangelides,Tryphon E.,1863,1941,author,el,"Euangelides, Tryphon E., 1863-1941",20929
Endell,Fritz August Gottfried,1873,1955,author,en,"Endell, Fritz August Gottfried, 1873-1955",20930
Pearse,Mark Guy,1842,1930,author,en,"Pearse, Mark Guy, 1842-1930",20931
Sanger,William W.,1819,1872,author,en,"Sanger, William W., 1819-1872",20932
Elomaa,Vilho,1893,1926,translator,fi,"Elomaa, Vilho, 1893-1926 [Translator]",20933
Harland,Henry,1861,1905,editor,en,"Harland, Henry, 1861-1905 [Editor]",20934
Lange,Dietrich,1863,1940,author,en,"Lange, D. (Dietrich), 1863-1940",20935
Howes,William L.,,,illustrator,en,"Howes, William L. [Illustrator]",20936
Gascoyne-Cecil,William,1863,1936,author,en,"Gascoyne-Cecil, William, 1863-1936",20937
Cecil,"Florence Mary Bootle-Wilbraham, Lady",1863,1944,author,en,"Cecil, Florence Mary Bootle-Wilbraham, Lady, 1863-1944",20938
Spicer,Ernest Evan,,,author,en,"Spicer, Ernest Evan",20939
Pegler,Ernest Charles,,,author,en,"Pegler, Ernest Charles",20940
Ranking,Devey Fearon de l'Hoste,1848,1931,"author of introduction, etc.",en,"Ranking, Devey Fearon de l'Hoste, 1848?-1931 [Author of introduction, etc.]",20941
Weeks,Lyman Horace,,,author,en,"Weeks, Lyman Horace",20942
Das,Sukumar Ranjan,,,author,en,"Das, Sukumar Ranjan",20943
Soyer,Alexis,1809,1858,author,en,"Soyer, Alexis, 1809-1858",20944
Gray,James Martin,1851,1935,author,en,"Gray, James M. (James Martin), 1851-1935",20945
Nordmann,Charles,1881,1940,author,fr,"Nordmann, Charles, 1881-1940",20946
Delany,Samuel R.,1942,,author,en,"Delany, Samuel R., 1942-",20947
L'Estrange,"Roger, Sir",1616,1704,translator,en,"L'Estrange, Roger, Sir, 1616-1704 [Translator]",20948
Flick,Alexander Clarence,1869,1942,author,en,"Flick, Alexander Clarence, 1869-1942",20949
Barrett,James William,1862,1945,author,en,"Barrett, James W. (James William), Sir, 1862-1945",20950
Deane,Percival Edgar,1890,1946,author,en,"Deane, P. E. (Percival Edgar), 1890-1946",20951
Sager,Matilda,1839,1928,author,en,"Sager, Matilda, 1839-1928",20952
Bernhard,Duke of Saxe-Weimar-Eisenach,1792,1862,author,en,"Bernhard, Duke of Saxe-Weimar-Eisenach, 1792-1862",20953
Martin,Benjamin Ellis,1839,1909,author,en,"Martin, Benjamin Ellis, 1839-1909",20954
Martin,Charlotte M.,,,author,en,"Martin, Charlotte M.",20955
Cornett,William N.,,,author,en,"Cornett, W. N. (William N.)",20956
Hossfeld,C.,,,author,en,"Hossfeld, C.",20957
Wray,James Jackson,1832,1892,author,en,"Wray, J. Jackson (James Jackson), 1832-1892",20958
Warren,George Henry,,,author,en,"Warren, George Henry",20959
Revell,James,,,author,en,"Revell, James",20960
Webster,"David, of Edinburgh",,,compiler,en,"Webster, David, of Edinburgh [Compiler]",20961
Collins,Joseph,1866,1950,author,en,"Collins, Joseph, 1866-1950",20962
Mein,Will G.,1868,1939,illustrator,en,"Mein, Will G., 1868-1939 [Illustrator]",20963
Perry,Arthur Latham,1830,1905,author,en,"Perry, Arthur Latham, 1830-1905",20964
Lockwine,Alexandra Agusta Guttman,1863,,author,en,"Lockwine, Alexandra Agusta Guttman, 1863-",20965
Austin,William E.,,,author,en,"Austin, William E.",20966
De Bieler,,,,illustrator,en,De Bieler [Illustrator],20967
Gambard,,,,illustrator,en,Gambard [Illustrator],20968
Stetson,Augusta Rice,,,translator,en,"Stetson, Augusta Rice [Translator]",20969
Nixon,Oliver Woodson,1825,1905,author,en,"Nixon, Oliver W. (Oliver Woodson), 1825-1905",20970
Higgins,Aileen Cleveland,1882,,author,en,"Higgins, Aileen Cleveland, 1882-",20971
Broadbridge,James,,,author,en,"Broadbridge, James",20972
Marinelli,Olinto,1874,1926,author,it,"Marinelli, Olinto, 1874-1926",20973
Pontini,Antonio,1832,1918,illustrator,it,"Pontini, Antonio, 1832-1918 [Illustrator]",20974
Renauld,Charles,,,translator,en,"Renauld, Charles [Translator]",20975
Elliot,William,1803,,translator,en,"Elliot, William, 1803- [Translator]",20976
Serjeant,Constancia,,,author,en,"Serjeant, Constancia",20977
Scott,Greenwood & Co.,,,author,en,"Scott, Greenwood & Co.",20978
Thakura,Dvijendranatha,1840,1926,commentator,en,"Thakura, Dvijendranatha, 1840-1926 [Commentator]",20979
Ross,Andrew,,,author,en,"Ross, Andrew",20980
Benitez,Conrado O.,1889,1971,author,en,"Benitez, Conrado O., 1889-1971",20981
Stevens,Thomas,1854,1935,editor,en,"Stevens, Thomas, 1854-1935 [Editor]",20982
Frost,Thomas,1821,1908,author,en,"Frost, Thomas, 1821-1908",20983
