Text#,Title,Authors,Subjects,Bookshelves
65974,"Carry On, Jeeves","Wodehouse, P. G. (Pelham Grenville), 1881-1975","British -- New York (State) -- New York -- Fiction; Short stories; Humorous stories; England -- Fiction; Wooster, Bertie (Fictitious character) -- Fiction; Jeeves (Fictitious character) -- Fiction; Single men -- Fiction; Valets -- Fiction",Browsing: Humour; Browsing: Literature; Browsing: Fiction
65975,The Making of a Man: Being a Description of Artificial Limbs and How They May Be Adopted by Those Who Have Suffered Loss of Their Natural Limbs,"George R. Fuller Co. (Rochester, N.Y.)",Artificial limbs -- Catalogs; Prosthesis -- Catalogs,Browsing: Health & Medicine; Browsing: Other
65976,Archangel: The American War with Russia,"Cudahy, John, 1887-1943","World War, 1914-1918 -- Russia (Federation) -- Arkhangelʹsk",Browsing: History - European; Browsing: History - General; Browsing: History - Warfare
65977,Time Grabber,"Dickson, Gordon R., 1923-2001; Terry, W. E., 1921-1992 [Illustrator]","Science fiction; Short stories; Rome -- History -- Nero, 54-68 -- Fiction; Epistolary fiction; Time travel -- Fiction",Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
65978,Champions of the fleet,"Fraser, Edward, 1859?-","Great Britain -- History, Naval; Naval battles -- Great Britain",Browsing: History - British; Browsing: History - General
65979,The Incredible Life-Form,"Marks, Winston K. (Winston Kinney), 1915-1979",Science fiction; Short stories; Life -- Fiction; Diamonds -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
65980,The Invisible Enemy,"Castle, Arnold",Science fiction; Short stories; War stories; Psychological fiction; Teenage boys -- Fiction,Browsing: Psychiatry/Psychology; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
65981,"Travels through the states of North America, and the provinces of Upper and Lower Canada, during the years 1795, 1796, and 1797 [Vol. 2 of 2]","Weld, Isaac, 1774-1856",United States -- Description and travel -- Early works to 1800; Canada -- Description and travel -- Early works to 1800,Browsing: History - American; Browsing: Travel & Geography
65982,Flames of the Storm,"Tuttle, W. C. (Wilbur C.), 1883-1969",Western stories; Adventure stories; Cowboys -- Fiction; Shepherds -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
65983,"The Harroun Site: A Fulton Aspect Component of the Caddoan Area, Upshur County, Texas","Jelks, Edward B., 1922-; Tunnell, Curtis D., 1934?-2001",Excavations (Archaeology) -- Texas; Harroun site; Texas -- Antiquities,Browsing: Archaeology; Browsing: History - American
65984,"History of the Reformation in Europe in the Time of Calvin, Vol. 6 (of 8)","Merle d'Aubigné, J. H. (Jean Henri), 1794-1872; Cates, William L. R. (William Leist Readwin), 1821-1895 [Translator]",Reformation,Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
65985,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 31, Vol. I, August 2, 1884",Various,Periodicals,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
65987,Strength and How to Obtain It,"Sandow, Eugen, 1867-1925","Sandow, Eugen, 1867-1925; Physical education and training -- Popular works; Exercise -- Popular works; Bodybuilders -- Biography",Browsing: Biographies; Browsing: Sports/Hobbies/Motoring; Browsing: Teaching & Education
65992,Portraits and Speculations,"Ransome, Arthur, 1884-1967","Literature, Modern -- 19th century -- History and criticism",Browsing: History - General; Browsing: Literature
65993,Scouting for Boys,"Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron, 1857-1941",Boy Scouts; Citizenship,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society
