Text#,Title,Language,Authors,Subjects,Bookshelves
59725,Pictures from English History: A Fireside Amusement,en,Anonymous,Great Britain -- History -- Juvenile fiction; Great Britain -- Kings and rulers -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: History - British; Browsing: Literature
59726,The Fairy Green,en,"Fyleman, Rose, 1877-1957","Children's poetry, English",Browsing: Children & Young Adult Reading; Browsing: Poetry
59727,An Old City Company: A Sketch of the History and Conditions of the Skinners' Company of London,en,"Sebastian, Lewis Boyd, 1852-1926",Worshipful Company of Skinners,Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Sociology
59728,Abbr.,en,"Riley, Frank, 1915-1996; Emshwiller, Ed, 1925-1990 [Illustrator]",Science fiction; Culture -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
59729,An Account of the Destruction of the Jesuits in France,en,"Alembert, Jean Le Rond d', 1717-1783",Jesuits -- France,Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
59730,Behind the Screen,en,"Goldwyn, Samuel, 1879-1974",Motion pictures; Motion picture actors and actresses,Browsing: Literature; Browsing: Performing Arts/Film
59731,Kleine Lebensgemälde in Erzählungen,de,"Voss, Julius von, 1768-1832","Short stories, German; German fiction",Browsing: Literature; Browsing: Fiction
59732,Hernando Cortes,en,"Campe, Joachim Heinrich, 1746-1818; Upton, George P. (George Putnam), 1834-1919 [Translator]","Cortés, Hernán, 1485-1547 -- Juvenile literature; Mexico -- History -- Conquest, 1519-1540 -- Juvenile literature",Browsing: Children & Young Adult Reading; Browsing: History - American
59733,"Prince Eugene, the Noble Knight",en,"Würdig, L. (Ludwig), 1818-1889; Upton, George P. (George Putnam), 1834-1919 [Translator]","Eugene, of Savoy, Prince of Savoy, 1663-1736 -- Juvenile literature; Europe -- History -- 1648-1789 -- Juvenile literature; Austria -- History -- 1519-1740 -- Juvenile literature",Browsing: Children & Young Adult Reading; Browsing: History - European
59734,Daddy's Little Rhyme Book,en,"Willebeek le Mair, H. (Henriëtte), 1889-1966 [Illustrator]",Nursery rhymes,Browsing: Children & Young Adult Reading; Browsing: Literature
59735,Mother's Little Rhyme Book,en,"Willebeek le Mair, H. (Henriëtte), 1889-1966 [Illustrator]",Nursery rhymes,Browsing: Children & Young Adult Reading; Browsing: Literature
59736,"Shoshone National Forest, Wyoming",en,United States. Forest Service,Shoshone National Forest (Wyo.),Browsing: History - American; Browsing: Travel & Geography
59737,The Common Rocks and Minerals of Missouri,en,"Keller, W. D., 1900-2001",Petrology -- Missouri; Mineralogy -- Missouri,Browsing: History - American; Browsing: Science - Earth/Agricultural/Farming
59738,Windmills and Wooden Shoes,en,"Jaekel, Blair, 1881-",Netherlands -- Description and travel,Browsing: Culture/Civilization/Society; Browsing: History - European; Browsing: Travel & Geography
59739,It Takes Practice Not To Die,en,"Bartlett, Elizabeth, 1911-1994",American poetry -- 20th century,Browsing: Literature; Browsing: Poetry
59740,"Lost Mine Trail, Big Bend National Park, Texas",en,Anonymous,Big Bend National Park (Tex.),Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography
59741,My Experiences at Nan Shan and Port Arthur with the Fifth East Siberian Rifles,en,"Tret'iakov, Nikolaĭ Aleksandrovich, 1854-1917; Baker, F. Nolan [Editor]; Alford, Arthur Cameron Rimington, 1882-1954 [Translator]","Russo-Japanese War, 1904-1905; Russia. Armiia. 5. Vostochno-Sibirskii strelkovoi; Russo-Japanese War, 1904-1905 -- Regimental histories -- Russia",Browsing: History - European; Browsing: History - General; Browsing: History - Warfare
59742,The Feather Bed,en,"Graves, Robert, 1895-1985",Drama,Browsing: Literature
59743,"The works of the Rev. John Wesley, Vol. 01 (of 32)",en,"Wesley, John, 1703-1791",Theology -- Early works to 1800; Methodist Church; Theology -- History -- 18th century,Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
59744,De Wonderbouw der Wereld,nl,"Pannekoek, Anton, 1873-1960",Astronomy -- History,Browsing: History - General; Browsing: Science - Astronomy
59745,"America: Being the Latest, and Most Accurate Description of the Nevv VVorld
Containing the Original of the Inhabitants, and the Remarkable Voyages Thither. The Conquest of the Vast Empires of Mexico and Peru, and Other Large Provinces and Territories, with the Several European Plantations in Those Parts. Also Their Cities, Fortresses, Towns, Temples, Mountains, and Rivers. Their Habits, Customs, Manners, and Religions. Their Plants, Beasts, Birds, and Serpents. With an Appendix, Containing, Besides Several Other Considerable Additions, a Brief Survey of What Hath Been Discover'd of the Unknown South-land and the Arctick Region.",en,"Ogilby, John, 1600-1676",America,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography
59746,"Historic Ornament, Vol. 1 (of 2)
Treatise on decorative art and architectural ornament",en,"Ward, James, 1851-1924",Decoration and ornament -- History; Architecture -- History; Decorative arts -- History,Browsing: Architecture; Browsing: Art & Photography; Browsing: Culture/Civilization/Society
59747,Young Medicine Man,en,"Kroll, Francis Lynde, 1904-1973; Geer, Charles, 1922-2008 [Illustrator]",Indians of North America -- Juvenile fiction; Shamans -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction
59748,"Devils Tower National Monument, Wyoming (1949)",en,United States. National Park Service,Devils Tower National Monument (Wyo.),Browsing: History - American; Browsing: Travel & Geography
59749,"Navajo National Monument, Arizona (1951)",en,United States. National Park Service,Cliff-dwellings -- Arizona; Pueblo Indians -- Antiquities; Indians of North America -- Arizona -- Antiquities; Navajo National Monument (Ariz.),Browsing: Archaeology; Browsing: Culture/Civilization/Society; Browsing: History - American
59750,Ulysses of Ithaca,en,"Becker, Karl Friedrich, 1777-1806; Homer, 751? BCE-651? BCE; Upton, George P. (George Putnam), 1834-1919 [Translator]","Odysseus, King of Ithaca (Mythological character) -- Juvenile literature",Browsing: Children & Young Adult Reading; Browsing: Literature
59751,"Arnold of Winkelried, the Hero of Sempach",en,"Höcker, Gustav, 1832-1911; Upton, George P. (George Putnam), 1834-1919 [Translator]","Winkelried, Arnold von -- Juvenile literature; Sempach, Battle of, Switzerland, 1386 -- Juvenile literature; Legends -- Switzerland -- Juvenile literature",Browsing: Children & Young Adult Reading; Browsing: History - European; Browsing: History - General
59752,The Moon Maid,en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Moon -- Fiction; Human-alien encounters -- Fiction,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
59753,"Moralens utveckling
Fri bearbetning efter Ch. Letourneau: ""L'évolution de la morale""",sv,"Key, Ellen, 1849-1926; Letourneau, Ch. (Charles), 1831-1902","Prehistoric peoples; Ethics, Evolutionary",Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology
59754,"The Cavaliers of Fortune; Or, British Heroes in Foreign Wars",en,"Grant, James, 1822-1887","Great Britain -- History, Military; British -- Foreign countries",Browsing: History - British; Browsing: History - General; Browsing: History - Warfare
59755,History of the Conquest of Mexico; vol. 1/4,en,"Prescott, William Hickling, 1796-1859","Cortés, Hernán, 1485-1547; Mexico -- History -- Conquest, 1519-1540",Browsing: History - American; Browsing: History - General
59756,Poems,en,"Cushag, 1852-1937",English poetry -- 20th century; Manx poetry (English),Browsing: Literature; Browsing: Poetry
59757,James Lusk: Letters & Memories,en,"Lusk, James, 1878-1915","Lusk, James, 1878-1915 -- Correspondence; World War, 1914-1918 -- Personal narratives, Scottish; World War, 1914-1918 -- Campaigns -- Western Front -- Personal narratives",Browsing: History - British; Browsing: History - General
59758,Väter und Söhne,de,"Turgenev, Ivan Sergeevich, 1818-1883",Historical fiction; Fathers and sons -- Fiction; Domestic fiction; Russia -- Social life and customs -- 1533-1917 -- Fiction; Russia -- Social conditions -- 1801-1917 -- Fiction; Nihilism (Philosophy) -- Fiction,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature; Browsing: Fiction
59759,"The Executor
Blackwood's Edinburgh Magazine vol. LXXXIX",en,"Oliphant, Mrs. (Margaret), 1828-1897",England -- Social life and customs -- 19th century -- Fiction; Inheritance and succession -- Fiction; Lawyers -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
59760,"The Detective's Clew: Or, The Tragedy of Elm Grove",en,"Adams, O. S.",Fiction; Detective and mystery stories,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
59761,Natural Bridges National Monument (1954),en,United States. National Park Service,Natural Bridges National Monument (Utah),Browsing: History - American; Browsing: Travel & Geography
59762,Troian sota: Muinaiskreikkalaisia jumaluus- ja sankaritarinoita,fi,"Berg, Fridtjuv, 1851-1916; Kajander, Kalle, 1862-1928 [Translator]","Epic poetry, Greek -- Adaptations; Tales -- Greece; Achilles (Mythological character) -- Fiction; Trojan War -- Fiction",Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
59763,The Tariff in Our Times,en,"Tarbell, Ida M. (Ida Minerva), 1857-1944",Tariff -- United States -- History,Browsing: Economics; Browsing: History - American; Browsing: Politics
59764,"Brazil and Her People of To-day
An Account of the Customs, Characteristics, Amusements, History and Advancement of the Brazilians, and the Development and Resources of Their Country",en,"Winter, Nevin O. (Nevin Otto), 1869-1936",Brazil,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography
59765,Cítanka pro skoly obecné. Díl I,cs,"Stastný, Jan, 1824-1913; Lepar, Jan, 1827-1902; Sokol, Josef, 1831-1912",Czech language -- Readers,Browsing: Language & Communication; Browsing: Literature; Browsing: Teaching & Education
59766,Index of the Project Gutenberg Works of Bayard Taylor,en,"Taylor, Bayard, 1825-1878; Widger, David, 1932-2021? [Editor]",Indexes,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
59767,Index of the Project Gutenberg Works of William Wood,en,"Wood, William, 1864-1947; Widger, David, 1932-2021? [Editor]",Indexes,Browsing: Encyclopedias/Dictionaries/Reference
59768,Index of the Project Gutenberg Works of William Butler Yeats,en,"Yeats, W. B. (William Butler), 1865-1939; Widger, David, 1932-2021? [Editor]",Indexes,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
